回,放送日,放送タイトル,セッション曲,オリジナル,歌唱,演奏者,備考
1,2023年12月16日,Spicy Sessions  with 平原綾香,からっぽのハート,平原綾香,平原綾香,大貫祐一郎(Piano),
1,2023年12月16日,Spicy Sessions  with 平原綾香,Georgia On My Mind,レイ・チャールズ,平原綾香(サックス)ｘ黒沢薫,佐藤雄大(Keyboard)  髭白健(Drums)  荻野哲史(Bass)  三沢崇篤(Guitar),
1,2023年12月16日,Spicy Sessions  with 平原綾香,ロマン,玉置浩二,平原綾香ｘ黒沢薫ｘ中西アルノ,佐藤雄大(Keyboard)  髭白健(Drums)  荻野哲史(Bass)  三沢崇篤(Guitar),
1,2023年12月16日,Spicy Sessions  with 平原綾香,Come What May,ムーラン・ルージュ,平原綾香ｘ黒沢薫,佐藤雄大(Keyboard)  髭白健(Drums)  荻野哲史(Bass)  三沢崇篤(Guitar),
1,2023年12月16日,Spicy Sessions  with 平原綾香,丸ノ内サディスティック,椎名林檎,中西アルノ,佐藤雄大(Keyboard)  髭白健(Drums)  荻野哲史(Bass)  三沢崇篤(Guitar),
2,2024年02月23日,Spicy Sessions  with クリス・ハート,monochromatic,クリス・ハート,クリス・ハート,佐藤雄大(Keyboard)  坂東慧(Drums)  荻野哲史(Bass)  三沢崇篤(Guitar),
2,2024年02月23日,Spicy Sessions  with クリス・ハート,未来へ,Kiroro,クリス・ハートｘ中西アルノ,佐藤雄大(Keyboard)  坂東慧(Drums)  荻野哲史(Bass)  三沢崇篤(Guitar),
2,2024年02月23日,Spicy Sessions  with クリス・ハート,PIECES OF A DREAM,CHEMISTRY,クリス・ハートｘ黒沢薫,佐藤雄大(Keyboard)  坂東慧(Drums)  荻野哲史(Bass)  三沢崇篤(Guitar),
2,2024年02月23日,Spicy Sessions  with クリス・ハート,I LOVE YOU,クリス・ハート,クリス・ハートｘ黒沢薫,佐藤雄大(Keyboard)  坂東慧(Drums)  荻野哲史(Bass)  三沢崇篤(Guitar),
2,2024年02月23日,Spicy Sessions  with クリス・ハート,思い出が止まらなくなる,乃木坂46,中西アルノ(黒沢薫),佐藤雄大(Keyboard)  坂東慧(Drums)  荻野哲史(Bass)  三沢崇篤(Guitar),
3,2024年03月23日,Spicy Sessions  with 浪岡真太郎＆大島真帆（Penthouse）,...恋に落ちたら,Penthouse,浪岡真太郎ｘ大島真帆,佐藤雄大(Keyboard)  坂東慧(Drums)  荻野哲史(Bass)  三沢崇篤(Guitar),
