日付,種別,名称,部,場所,曲順,曲名,センター1,センター2,備考,参照元1,参照元2,参照元3,※ライブ数集計用のユニーク文字列
2012/8/13,全体,乃木坂46 Live in Osaka ～がんばれ！今野～,,Zepp Namba,1,走れ!Bicycle,,,,https://natalie.mu/music/news/74705,,,41134乃木坂46 Live in Osaka ～がんばれ！今野～
2012/8/13,全体,乃木坂46 Live in Osaka ～がんばれ！今野～,,Zepp Namba,2,ハウス!,,,,https://natalie.mu/music/news/74705,,,41134乃木坂46 Live in Osaka ～がんばれ！今野～
2012/8/13,全体,乃木坂46 Live in Osaka ～がんばれ！今野～,,Zepp Namba,3,涙がまだ悲しみだった頃,,,,https://natalie.mu/music/news/74705,,,41134乃木坂46 Live in Osaka ～がんばれ！今野～
2012/8/13,全体,乃木坂46 Live in Osaka ～がんばれ！今野～,,Zepp Namba,4,狼に口笛を,,,,https://natalie.mu/music/news/74705,,,41134乃木坂46 Live in Osaka ～がんばれ！今野～
2012/8/13,全体,乃木坂46 Live in Osaka ～がんばれ！今野～,,Zepp Namba,5,左胸の勇気,,,,https://natalie.mu/music/news/74705,,,41134乃木坂46 Live in Osaka ～がんばれ！今野～
2012/8/13,全体,乃木坂46 Live in Osaka ～がんばれ！今野～,,Zepp Namba,6,せっかちなかたつむり,,,,https://natalie.mu/music/news/74705,,,41134乃木坂46 Live in Osaka ～がんばれ！今野～
2012/8/13,全体,乃木坂46 Live in Osaka ～がんばれ！今野～,,Zepp Namba,7,人はなぜ走るのか?,,,,https://natalie.mu/music/news/74705,,,41134乃木坂46 Live in Osaka ～がんばれ！今野～
2012/8/13,全体,乃木坂46 Live in Osaka ～がんばれ！今野～,,Zepp Namba,8,音が出ないギター,,,,https://natalie.mu/music/news/74705,,,41134乃木坂46 Live in Osaka ～がんばれ！今野～
2012/8/13,全体,乃木坂46 Live in Osaka ～がんばれ！今野～,,Zepp Namba,9,オーマイガー！,,,,https://natalie.mu/music/news/74705,,,41134乃木坂46 Live in Osaka ～がんばれ！今野～
2012/8/13,全体,乃木坂46 Live in Osaka ～がんばれ！今野～,,Zepp Namba,10,会いたかった,,,,https://natalie.mu/music/news/74705,,,41134乃木坂46 Live in Osaka ～がんばれ！今野～
2012/8/13,全体,乃木坂46 Live in Osaka ～がんばれ！今野～,,Zepp Namba,11,Beginner,,,,https://natalie.mu/music/news/74705,,,41134乃木坂46 Live in Osaka ～がんばれ！今野～
2012/8/13,全体,乃木坂46 Live in Osaka ～がんばれ！今野～,,Zepp Namba,12,ぐるぐるカーテン,,,,https://natalie.mu/music/news/74705,,,41134乃木坂46 Live in Osaka ～がんばれ！今野～
2012/8/13,全体,乃木坂46 Live in Osaka ～がんばれ！今野～,,Zepp Namba,13,おいでシャンプー,,,,https://natalie.mu/music/news/74705,,,41134乃木坂46 Live in Osaka ～がんばれ！今野～
2012/8/13,全体,乃木坂46 Live in Osaka ～がんばれ！今野～,,Zepp Namba,14,失いたくないから,,,,https://natalie.mu/music/news/74705,,,41134乃木坂46 Live in Osaka ～がんばれ！今野～
2012/8/13,全体,乃木坂46 Live in Osaka ～がんばれ！今野～,,Zepp Namba,EN1,会いたかったかもしれない,,,,https://natalie.mu/music/news/74705,,,41134乃木坂46 Live in Osaka ～がんばれ！今野～
2012/8/13,全体,乃木坂46 Live in Osaka ～がんばれ！今野～,,Zepp Namba,EN2,走れ!Bicycle,,,,https://natalie.mu/music/news/74705,,,41134乃木坂46 Live in Osaka ～がんばれ！今野～
2012/8/13,全体,乃木坂46 Live in Osaka ～がんばれ！今野～,,Zepp Namba,EN3,乃木坂の詩,,,,https://natalie.mu/music/news/74705,,,41134乃木坂46 Live in Osaka ～がんばれ！今野～
2012/8/14,全体,乃木坂46 Live in Nagoya ～がんばれ！今野～,,Zepp Nagoya,1,走れ!Bicycle,,,,https://natalie.mu/music/news/74705,,,41135乃木坂46 Live in Nagoya ～がんばれ！今野～
2012/8/14,全体,乃木坂46 Live in Nagoya ～がんばれ！今野～,,Zepp Nagoya,2,ハウス!,,,,https://natalie.mu/music/news/74705,,,41135乃木坂46 Live in Nagoya ～がんばれ！今野～
